image_name,predicted_count,actual_count,difference
Hindi work done by rudransh_page-0012.jpg,56,,
Hindi work done by rudransh_page-0013.jpg,100,,
Hindi work done by rudransh_page-0013.jpg,100,,
Hindi work done by rudransh_page-0014.jpg,87,,
Hindi work done by rudransh_page-0014.jpg,87,,
Hindi work done by rudransh_page-0015.jpg,103,,
Hindi work done by rudransh_page-0015.jpg,103,,
Hindi work done by rudransh_page-0016.jpg,58,,
Hindi work done by rudransh_page-0016.jpg,58,,
Hindi work done by rudransh_page-0017.jpg,65,,
Hindi work done by rudransh_page-0017.jpg,65,,
Hindi work done by rudransh_page-0018.jpg,96,,
Hindi work done by rudransh_page-0018.jpg,96,,
Hindi work done by rudransh_page-0019.jpg,165,,
Hindi work done by rudransh_page-0019.jpg,165,,
Hindi work done by rudransh_page-0020.jpg,106,,
Hindi work done by rudransh_page-0020.jpg,106,,
Hindi work done by rudransh_page-0021.jpg,112,,
Hindi work done by rudransh_page-0021.jpg,112,,
Hindi work done by rudransh_page-0022.jpg,68,,
Hindi work done by rudransh_page-0022.jpg,68,,
Hindi work done by rudransh_page-0023.jpg,98,,
Hindi work done by rudransh_page-0023.jpg,98,,
Hindi work done by rudransh_page-0024.jpg,104,,
Hindi work done by rudransh_page-0024.jpg,104,,
Hindi work done by rudransh_page-0025.jpg,119,,
Hindi work done by rudransh_page-0025.jpg,119,,
Hindi work done by rudransh_page-0026.jpg,83,,
Hindi work done by rudransh_page-0026.jpg,83,,
Hindi work done by rudransh_page-0027.jpg,69,,
Hindi work done by rudransh_page-0027.jpg,69,,
Hindi work done by rudransh_page-0028.jpg,59,,
Hindi work done by rudransh_page-0028.jpg,59,,
