filename,abs_angle,augmented,actual_words,detected_words,error
page2_angle_30_aug1.jpg,30,Yes,124,119,5
page2_angle_30_aug2.jpg,30,Yes,124,122,2
page2_angle_30_aug3.jpg,30,Yes,124,119,5
page3_angle_-30.jpg,30,No,126,126,0
page3_angle_-30_aug2.jpg,30,Yes,126,127,1
page3_angle_-30_aug3.jpg,30,Yes,126,134,8
page3_angle_30.jpg,30,No,126,126,0
page3_angle_30_aug1.jpg,30,Yes,126,126,0
page3_angle_30_aug2.jpg,30,Yes,126,126,0
page3_angle_30_aug3.jpg,30,Yes,126,125,1
page4_angle_-30.jpg,30,No,125,125,0
page4_angle_-30_aug2.jpg,30,Yes,125,125,0
page4_angle_-30_aug3.jpg,30,Yes,125,125,0
page4_angle_30.jpg,30,No,125,125,0
page4_angle_30_aug1.jpg,30,Yes,125,128,3
page4_angle_30_aug2.jpg,30,Yes,125,139,14
page4_angle_30_aug3.jpg,30,Yes,125,125,0
page5_angle_-30.jpg,30,No,122,120,2
page5_angle_-30_aug1.jpg,30,Yes,122,116,6
page5_angle_-30_aug3.jpg,30,Yes,122,118,4
page5_angle_30.jpg,30,No,122,119,3
page6_angle_-30.jpg,30,No,126,128,2
page6_angle_-30_aug2.jpg,30,Yes,126,125,1
page6_angle_30.jpg,30,No,126,127,1
page6_angle_30_aug3.jpg,30,Yes,126,134,8
page7_angle_-30.jpg,30,No,122,109,13
page7_angle_-30_aug1.jpg,30,Yes,122,108,14
page7_angle_-30_aug2.jpg,30,Yes,122,108,14
page7_angle_-30_aug3.jpg,30,Yes,122,150,28
page7_angle_30.jpg,30,No,122,110,12
page8_angle_-30.jpg,30,No,121,112,9
page8_angle_-30_aug1.jpg,30,Yes,121,113,8
page8_angle_30.jpg,30,No,121,113,8
page8_angle_30_aug1.jpg,30,Yes,121,114,7
page8_angle_30_aug2.jpg,30,Yes,121,113,8
page8_angle_30_aug3.jpg,30,Yes,121,114,7
page9_angle_-30.jpg,30,No,121,112,9
page9_angle_-30_aug2.jpg,30,Yes,121,112,9
page9_angle_-30_aug3.jpg,30,Yes,121,114,7
page9_angle_30.jpg,30,No,121,111,10
page9_angle_30_aug1.jpg,30,Yes,121,111,10
page9_angle_30_aug2.jpg,30,Yes,121,111,10
page9_angle_30_aug3.jpg,30,Yes,121,112,9
page10_angle_-35.jpg,35,No,121,113,8
page10_angle_-35_aug1.jpg,35,Yes,121,117,4
page10_angle_-35_aug2.jpg,35,Yes,121,114,7
page10_angle_-35_aug3.jpg,35,Yes,121,115,6
page10_angle_35.jpg,35,No,121,112,9
page10_angle_35_aug2.jpg,35,Yes,121,116,5
page11_angle_-35.jpg,35,No,124,119,5
page11_angle_-35_aug3.jpg,35,Yes,124,119,5
page11_angle_35.jpg,35,No,124,119,5
page11_angle_35_aug2.jpg,35,Yes,124,120,4
page11_angle_35_aug3.jpg,35,Yes,124,120,4
page1_angle_-35.jpg,35,No,124,129,5
page1_angle_-35_aug1.jpg,35,Yes,124,128,4
page1_angle_-35_aug2.jpg,35,Yes,124,128,4
page1_angle_-35_aug3.jpg,35,Yes,124,132,8
page1_angle_35.jpg,35,No,124,127,3
page1_angle_35_aug3.jpg,35,Yes,124,131,7
page2_angle_-35.jpg,35,No,124,117,7
page2_angle_-35_aug2.jpg,35,Yes,124,123,1
page2_angle_-35_aug3.jpg,35,Yes,124,119,5
page2_angle_35.jpg,35,No,124,118,6
page2_angle_35_aug1.jpg,35,Yes,124,118,6
page3_angle_-35.jpg,35,No,126,129,3
page3_angle_-35_aug1.jpg,35,Yes,126,127,1
page3_angle_-35_aug3.jpg,35,Yes,126,127,1
page3_angle_35.jpg,35,No,126,126,0
page3_angle_35_aug2.jpg,35,Yes,126,129,3
page3_angle_35_aug3.jpg,35,Yes,126,131,5
page4_angle_-35.jpg,35,No,125,125,0
page4_angle_-35_aug2.jpg,35,Yes,125,125,0
page4_angle_35.jpg,35,No,125,126,1
page4_angle_35_aug2.jpg,35,Yes,125,131,6
page5_angle_-35.jpg,35,No,122,118,4
page5_angle_-35_aug2.jpg,35,Yes,122,116,6
page5_angle_35.jpg,35,No,122,120,2
page5_angle_35_aug1.jpg,35,Yes,122,118,4
page6_angle_-35.jpg,35,No,126,129,3
page6_angle_-35_aug1.jpg,35,Yes,126,135,9
page6_angle_-35_aug2.jpg,35,Yes,126,125,1
page6_angle_-35_aug3.jpg,35,Yes,126,137,11
page6_angle_35.jpg,35,No,126,127,1
page6_angle_35_aug1.jpg,35,Yes,126,128,2
page7_angle_-35.jpg,35,No,122,109,13
page7_angle_-35_aug1.jpg,35,Yes,122,107,15
page7_angle_35.jpg,35,No,122,109,13
page7_angle_35_aug2.jpg,35,Yes,122,107,15
page7_angle_35_aug3.jpg,35,Yes,122,112,10
page8_angle_-35.jpg,35,No,121,114,7
page8_angle_-35_aug1.jpg,35,Yes,121,113,8
page8_angle_-35_aug2.jpg,35,Yes,121,114,7
page8_angle_-35_aug3.jpg,35,Yes,121,114,7
page8_angle_35.jpg,35,No,121,113,8
page8_angle_35_aug1.jpg,35,Yes,121,115,6
page8_angle_35_aug3.jpg,35,Yes,121,110,11
page9_angle_-35.jpg,35,No,121,112,9
page9_angle_35.jpg,35,No,121,108,13
page9_angle_35_aug2.jpg,35,Yes,121,112,9
page9_angle_35_aug3.jpg,35,Yes,121,135,14
page10_angle_-40.jpg,40,No,121,112,9
page10_angle_-40_aug1.jpg,40,Yes,121,115,6
page10_angle_-40_aug2.jpg,40,Yes,121,115,6
page10_angle_-40_aug3.jpg,40,Yes,121,113,8
page10_angle_40.jpg,40,No,121,114,7
page10_angle_40_aug1.jpg,40,Yes,121,114,7
page11_angle_-40.jpg,40,No,124,122,2
page11_angle_-40_aug1.jpg,40,Yes,124,120,4
page11_angle_-40_aug3.jpg,40,Yes,124,119,5
page11_angle_40.jpg,40,No,124,119,5
page11_angle_40_aug1.jpg,40,Yes,124,119,5
page11_angle_40_aug2.jpg,40,Yes,124,120,4
page1_angle_-40.jpg,40,No,124,129,5
page1_angle_-40_aug3.jpg,40,Yes,124,128,4
page1_angle_40.jpg,40,No,124,127,3
page1_angle_40_aug1.jpg,40,Yes,124,130,6
page1_angle_40_aug2.jpg,40,Yes,124,131,7
page1_angle_40_aug3.jpg,40,Yes,124,128,4
page2_angle_-40.jpg,40,No,124,120,4
page2_angle_-40_aug3.jpg,40,Yes,124,121,3
page2_angle_40.jpg,40,No,124,118,6
page2_angle_40_aug1.jpg,40,Yes,124,122,2
page2_angle_40_aug3.jpg,40,Yes,124,122,2
page3_angle_-40.jpg,40,No,126,127,1
page3_angle_-40_aug2.jpg,40,Yes,126,127,1
page3_angle_40.jpg,40,No,126,128,2
page3_angle_40_aug2.jpg,40,Yes,126,128,2
page3_angle_40_aug3.jpg,40,Yes,126,127,1
page4_angle_-40.jpg,40,No,125,125,0
page4_angle_-40_aug1.jpg,40,Yes,125,134,9
page4_angle_-40_aug2.jpg,40,Yes,125,131,6
page4_angle_-40_aug3.jpg,40,Yes,125,133,8
page4_angle_40.jpg,40,No,125,125,0
page4_angle_40_aug1.jpg,40,Yes,125,130,5
page5_angle_-40.jpg,40,No,122,119,3
page5_angle_-40_aug1.jpg,40,Yes,122,124,2
page5_angle_-40_aug2.jpg,40,Yes,122,117,5
page5_angle_40.jpg,40,No,122,119,3
page5_angle_40_aug1.jpg,40,Yes,122,118,4
page5_angle_40_aug2.jpg,40,Yes,122,118,4
page5_angle_40_aug3.jpg,40,Yes,122,116,6
page6_angle_-40.jpg,40,No,126,127,1
page6_angle_-40_aug2.jpg,40,Yes,126,131,5
